"Parcela","Cultura","IQS_PLS","FISICO","AGRO","REND"
"NT","Cowpea",4.2687,-0.3412,-0.0428,0.3307
"NT","Cowpea",4.4032,-0.7235,0.2941,0.3307
"NT","Cowpea",3.922,-0.5536,-0.2113,0.3307
"NT","Cowpea",2.728,-0.3952,-0.8825,-0.1161
"NT","Cowpea",3.1701,-0.9098,-0.2087,-0.1161
"NT","Cowpea",2.6352,-1.1055,-0.5456,-0.1161
"NT","Cowpea",3.3969,-0.1814,-0.2013,-0.3678
"NT","Cowpea",3.3498,-0.2494,-0.2013,-0.3678
"NT","Cowpea",3.1921,-0.1887,-0.3698,-0.3678
"NT","Millet",3.4659,0.726,-0.6102,-0.4336
"NT","Millet",3.396,0.3368,-0.4417,-0.4336
"NT","Millet",3.8587,0.1402,0.0637,-0.4336
"NT","Millet",3.5667,0.4603,-0.7111,-0.0781
"NT","Millet",3.6629,0.0226,-0.3742,-0.0781
"NT","Millet",4.4369,0.5636,-0.0373,-0.0781
"NT","Millet",6.2387,0.3361,1.4335,0.1122
"NT","Millet",5.1426,0.483,0.4227,0.1122
"NT","Millet",5.2586,0.3622,0.5912,0.1122
"NT","Sunn hemp",4.2316,-0.5762,0.4209,-0.0419
"NT","Sunn hemp",3.5219,-1.0245,0.084,-0.0419
"NT","Sunn hemp",3.3506,-0.9835,-0.0845,-0.0419
"NT","Sunn hemp",3.6301,1.2458,-0.8177,-0.3895
"NT","Sunn hemp",2.8819,0.396,-0.9525,-0.3895
"NT","Sunn hemp",3.8355,0.8505,-0.4134,-0.3895
"NT","Sunn hemp",3.1397,0.2271,0.0099,-1.0626
"NT","Sunn hemp",2.2475,0.2649,-0.765,-1.0626
"NT","Sunn hemp",2.4276,0.3521,-0.664,-1.0626
"NT","Pigeon pea",5.1386,-0.4293,0.1711,0.9261
"NT","Pigeon pea",4.6145,-0.3213,-0.3343,0.9261
"NT","Pigeon pea",4.6108,-0.6149,-0.1658,0.9261
"NT","Pigeon pea",4.3381,0.0513,-0.2588,0.3778
"NT","Pigeon pea",5.15,-0.506,0.752,0.3778
"NT","Pigeon pea",4.3515,-0.2176,-0.0903,0.3778
"NT","Pigeon pea",3.4313,-0.3273,0.5227,-1.0029
"NT","Pigeon pea",3.0671,-0.2766,0.1858,-1.0029
"NT","Pigeon pea",3.8154,1.2651,-0.0838,-1.0029
"MT","Cowpea",6.1516,0.2617,0.6976,0.8474
"MT","Cowpea",5.9839,-0.2686,0.8661,0.8474
"MT","Cowpea",7.7193,2.5252,0.6976,0.8474
"MT","Cowpea",6.6395,0.2974,0.9357,1.0065
"MT","Cowpea",6.1919,0.2277,0.5988,1.0065
"MT","Cowpea",8.194,3.695,0.2619,1.0065
"MT","Cowpea",5.4439,0.1312,0.6936,0.309
"MT","Cowpea",5.2384,-0.0502,0.6262,0.309
"MT","Cowpea",5.0552,0.1464,0.3567,0.309
"MT","Millet",3.9689,-1.0134,0.3596,0.0572
"MT","Millet",3.8526,-1.1814,0.3596,0.0572
"MT","Millet",6.003,2.5001,0.0227,0.0572
"MT","Millet",6.9119,0.5681,1.2341,0.7704
"MT","Millet",7.968,1.8048,1.4025,0.7704
"MT","Millet",8.3824,3.2678,0.8971,0.7704
"MT","Millet",8.2563,1.0624,1.8775,0.9809
"MT","Millet",8.2546,1.0599,1.8775,0.9809
"MT","Millet",8.2838,1.1021,1.8775,0.9809
"MT","Sunn hemp",4.0832,-0.9836,-0.1257,0.6451
"MT","Sunn hemp",4.3158,-0.936,0.0427,0.6451
"MT","Sunn hemp",6.3398,2.2747,-0.1257,0.6451
"MT","Sunn hemp",8.3764,0.2327,1.8617,1.608
"MT","Sunn hemp",7.2232,-0.2792,1.1878,1.608
"MT","Sunn hemp",10,2.8653,1.6932,1.608
"MT","Sunn hemp",3.6095,-0.7179,0.8632,-0.9632
"MT","Sunn hemp",6.141,3.2256,0.6948,-0.9632
"MT","Sunn hemp",3.9033,-0.0054,0.6948,-0.9632
"MT","Pigeon pea",7.9311,0.7668,1.5982,1.166
"MT","Pigeon pea",7.1866,-0.3082,1.5982,1.166
"MT","Pigeon pea",6.956,-0.6412,1.5982,1.166
"MT","Pigeon pea",8.655,0.2442,1.9149,1.7905
"MT","Pigeon pea",8.6625,0.255,1.9149,1.7905
"MT","Pigeon pea",7.8816,0.2806,1.2411,1.7905
"MT","Pigeon pea",7.523,0.3301,1.0618,1.6319
"MT","Pigeon pea",7.9136,0.6058,1.2302,1.6319
"MT","Pigeon pea",7.6663,0.2488,1.2302,1.6319
"CT","Cowpea",2.7988,-0.6191,-0.5639,-0.2494
"CT","Cowpea",2.0717,-0.6312,-1.1703,-0.2494
"CT","Cowpea",3.1914,-0.0522,-0.5639,-0.2494
"CT","Cowpea",2.8073,-1.7169,-0.0513,-0.1076
"CT","Cowpea",3.2488,-0.2146,-0.5567,-0.1076
"CT","Cowpea",2.3434,-1.2337,-0.7251,-0.1076
"CT","Cowpea",6.4522,-0.5839,0.5082,1.8238
"CT","Cowpea",7.0017,-0.6554,1.0136,1.8238
"CT","Cowpea",6.3721,-0.6996,0.5082,1.8238
"CT","Millet",1.1922,-0.7277,-0.9078,-1.2372
"CT","Millet",1.2927,-0.0061,-1.2447,-1.2372
"CT","Millet",1.0892,-1.1648,-0.7393,-1.2372
"CT","Millet",1.3293,-0.5525,-0.5942,-1.5499
"CT","Millet",1.4308,0.1706,-0.9312,-1.5499
"CT","Millet",1.1477,-0.8147,-0.5942,-1.5499
"CT","Millet",1.8604,-0.4794,-0.8061,-0.907
"CT","Millet",1.4523,-0.4921,-1.143,-0.907
"CT","Millet",1.0361,-0.5165,-1.4799,-0.907
"CT","Sunn hemp",0.2765,-1.0712,-1.9336,-0.7644
"CT","Sunn hemp",0.6763,-1.0704,-1.5967,-0.7644
"CT","Sunn hemp",0.8274,-1.1404,-1.4282,-0.7644
"CT","Sunn hemp",0,-0.1932,-2.1107,-1.3574
"CT","Sunn hemp",0.8192,-0.1634,-1.4369,-1.3574
"CT","Sunn hemp",0.2072,-0.1822,-1.9423,-1.3574
"CT","Sunn hemp",4.4689,-1.0254,0.3753,0.4877
"CT","Sunn hemp",3.8757,-1.0172,-0.1301,0.4877
"CT","Sunn hemp",4.8607,-1.0362,0.7122,0.4877
"CT","Pigeon pea",0.0843,-0.1701,-1.4931,-1.9408
"CT","Pigeon pea",0.2007,-0.2903,-1.3246,-1.9408
"CT","Pigeon pea",0.6657,-0.1954,-0.9877,-1.9408
"CT","Pigeon pea",0.2492,-0.3782,-1.7427,-1.4092
"CT","Pigeon pea",0.815,-0.1377,-1.4057,-1.4092
"CT","Pigeon pea",0.739,-0.2475,-1.4057,-1.4092
"CT","Pigeon pea",1.0374,-0.8385,-1.3047,-0.8924
"CT","Pigeon pea",1.6744,-0.7835,-0.7993,-0.8924
"CT","Pigeon pea",1.0492,-0.8215,-1.3047,-0.8924
